iter	Passed	Remaining
497	2481	2501
498	2483	2493
499	2484	2484
500	2486	2476
501	2488	2468
502	2490	2460
503	2493	2453
504	2495	2446
505	2497	2438
506	2499	2430
507	2500	2421
508	2502	2413
509	2504	2405
510	2505	2397
511	2508	2390
512	2511	2383
513	2512	2375
514	2514	2368
515	2516	2360
516	2518	2352
517	2519	2344
518	2521	2337
519	2524	2329
520	2526	2322
521	2528	2314
522	2529	2307
523	2531	2299
524	2533	2291
525	2535	2284
526	2537	2277
527	2539	2270
528	2541	2263
529	2543	2255
530	2545	2248
531	2547	2240
532	2548	2233
533	2550	2225
534	2554	2219
535	2556	2212
536	2558	2205
537	2560	2198
538	2562	2191
539	2565	2185
540	2568	2178
541	2570	2172
542	2572	2165
543	2574	2158
544	2576	2150
545	2578	2143
546	2579	2136
547	2581	2129
548	2583	2122
549	2586	2115
550	2588	2108
551	2589	2101
552	2591	2094
553	2593	2088
554	2595	2080
555	2597	2074
556	2599	2067
557	2601	2060
558	2603	2053
559	2605	2046
560	2607	2040
561	2608	2033
562	2610	2026
563	2612	2019
564	2614	2012
565	2616	2006
566	2618	1999
567	2620	1992
568	2622	1986
569	2623	1979
570	2625	1972
571	2627	1966
572	2630	1959
573	2632	1953
574	2634	1947
575	2636	1940
576	2638	1934
577	2640	1927
578	2642	1921
579	2644	1914
580	2646	1908
581	2648	1902
582	2651	1896
583	2653	1890
584	2657	1885
585	2659	1879
586	2677	1883
587	2694	1888
588	2698	1883
589	2703	1878
590	2713	1877
591	2735	1885
592	2738	1879
593	2741	1873
594	2743	1867
595	2747	1862
596	2762	1864
597	2768	1861
598	2773	1856
599	2779	1853
600	2782	1847
601	2785	1841
602	2787	1834
603	2789	1828
604	2794	1824
605	2797	1818
606	2799	1812
607	2801	1806
608	2804	1800
609	2808	1795
610	2810	1789
611	2812	1783
612	2814	1776
613	2816	1770
614	2818	1764
615	2821	1758
616	2823	1752
617	2825	1746
618	2827	1740
619	2828	1733
620	2830	1727
621	2832	1721
622	2834	1715
623	2837	1709
624	2839	1703
625	2840	1697
626	2842	1691
627	2845	1685
628	2847	1679
629	2851	1674
630	2853	1668
631	2855	1662
632	2857	1656
633	2858	1650
634	2860	1644
635	2862	1638
636	2864	1632
637	2866	1626
638	2868	1620
639	2870	1614
640	2872	1608
641	2874	1602
642	2875	1596
643	2877	1590
644	2880	1585
645	2882	1579
646	2884	1573
647	2885	1567
648	2887	1561
649	2889	1555
650	2891	1549
651	2892	1544
652	2896	1538
653	2898	1533
654	2900	1527
655	2902	1522
656	2904	1516
657	2907	1511
658	2910	1505
659	2912	1500
660	2916	1495
661	2918	1490
662	2921	1484
663	2924	1479
664	2929	1475
665	2931	1470
666	2933	1464
667	2935	1458
668	2937	1453
669	2940	1448
670	2943	1443
671	2946	1438
672	2948	1432
673	2949	1426
674	2951	1421
675	2954	1415
676	2957	1410
677	2960	1405
678	2962	1400
679	2963	1394
680	2965	1389
681	2968	1384
682	2971	1378
683	2974	1374
684	2976	1368
685	2978	1363
686	2980	1357
687	2982	1352
688	2984	1347
689	2988	1342
690	2990	1337
691	2992	1332
692	2994	1326
693	2996	1321
694	3000	1316
695	3003	1311
696	3005	1306
697	3007	1301
698	3011	1296
699	3013	1291
700	3018	1287
701	3020	1282
702	3022	1276
703	3024	1271
704	3026	1266
705	3029	1261
706	3034	1257
707	3037	1252
708	3039	1247
709	3042	1242
710	3045	1237
711	3048	1233
712	3050	1228
713	3052	1222
714	3054	1217
715	3056	1212
716	3059	1207
717	3063	1203
718	3065	1198
719	3068	1193
720	3069	1187
721	3071	1182
722	3074	1177
723	3077	1173
724	3080	1168
725	3083	1163
726	3085	1158
727	3090	1154
728	3092	1149
729	3095	1144
730	3097	1139
731	3098	1134
732	3100	1129
733	3102	1124
734	3105	1119
735	3108	1115
736	3110	1110
737	3112	1104
738	3114	1099
739	3115	1094
740	3117	1089
741	3120	1084
742	3123	1080
743	3125	1075
744	3126	1070
745	3128	1065
746	3130	1060
747	3132	1055
748	3134	1050
749	3136	1045
750	3138	1040
751	3140	1035
752	3142	1030
753	3143	1025
754	3145	1020
755	3147	1015
756	3149	1011
757	3152	1006
758	3153	1001
759	3155	996
760	3157	991
761	3158	986
762	3160	981
763	3162	976
764	3165	972
765	3167	967
766	3169	962
767	3171	957
768	3172	953
769	3174	948
770	3176	943
771	3178	938
772	3180	934
773	3183	929
774	3184	924
775	3186	919
776	3188	915
777	3189	910
778	3191	905
779	3194	900
780	3196	896
781	3198	891
782	3200	886
783	3202	882
784	3203	877
785	3207	873
786	3210	868
787	3212	864
788	3214	859
789	3216	854
790	3217	850
791	3219	845
792	3221	840
793	3223	836
794	3225	831
795	3227	827
796	3229	822
797	3231	817
798	3233	813
799	3235	808
800	3238	804
801	3241	800
802	3243	795
803	3245	791
804	3248	786
805	3250	782
806	3252	777
807	3254	773
808	3257	768
809	3258	764
810	3260	759
811	3262	755
812	3264	750
813	3265	746
814	3267	741
815	3270	737
816	3272	732
817	3274	728
818	3275	723
819	3277	719
820	3279	714
821	3281	710
822	3283	706
823	3285	701
824	3287	697
825	3289	692
826	3291	688
827	3293	684
828	3294	679
829	3296	675
830	3298	670
831	3302	666
832	3303	662
833	3305	657
834	3307	653
835	3309	649
836	3310	644
837	3312	640
838	3315	636
839	3317	631
840	3319	627
841	3320	623
842	3322	618
843	3324	614
844	3325	610
845	3327	605
846	3330	601
847	3332	597
848	3334	593
849	3336	588
850	3338	584
851	3339	580
852	3341	575
853	3343	571
854	3346	567
855	3348	563
856	3350	558
857	3351	554
858	3353	550
859	3355	546
860	3356	541
861	3358	537
862	3361	533
863	3363	529
864	3365	525
865	3366	520
866	3368	516
867	3370	512
868	3371	508
869	3374	504
870	3377	500
871	3378	495
872	3380	491
873	3382	487
874	3384	483
875	3385	479
876	3387	475
877	3390	471
878	3392	466
879	3394	462
880	3395	458
881	3397	454
882	3399	450
883	3400	446
884	3403	442
885	3405	438
886	3407	434
887	3409	430
888	3411	425
889	3412	421
890	3414	417
891	3416	413
892	3418	409
893	3421	405
894	3422	401
895	3424	397
896	3426	393
897	3428	389
898	3429	385
899	3432	381
900	3434	377
901	3436	373
902	3438	369
903	3440	365
904	3441	361
905	3443	357
906	3445	353
907	3448	349
908	3453	345
909	3455	341
910	3457	337
911	3462	334
912	3465	330
913	3468	326
914	3470	322
915	3473	318
916	3475	314
917	3477	310
918	3479	306
919	3481	302
920	3483	298
921	3485	294
922	3487	290
923	3488	286
924	3490	283
925	3492	279
926	3494	275
927	3496	271
928	3498	267
929	3500	263
930	3502	259
931	3503	255
932	3505	251
933	3507	247
934	3509	243
935	3512	240
936	3513	236
937	3515	232
938	3517	228
939	3519	224
940	3520	220
941	3522	216
942	3524	213
943	3527	209
944	3529	205
945	3530	201
946	3532	197
947	3534	193
948	3535	190
949	3537	186
950	3539	182
951	3542	178
952	3544	174
953	3545	170
954	3547	167
955	3549	163
956	3550	159
957	3552	155
958	3554	151
959	3557	148
960	3559	144
961	3561	140
962	3562	136
963	3564	133
964	3566	129
965	3567	125
966	3570	121
967	3572	118
968	3575	114
969	3576	110
970	3578	106
971	3580	103
972	3582	99
973	3584	95
974	3589	92
975	3591	88
976	3592	84
977	3594	80
978	3596	77
979	3597	73
980	3600	69
981	3605	66
982	3608	62
983	3610	58
984	3654	55
985	3673	52
986	3683	48
987	3699	44
988	3703	41
989	3716	37
990	3719	33
991	3728	30
992	3733	26
993	3749	22
994	3753	18
995	3760	15
996	3764	11
997	3766	7
998	3769	3
999	3773	0
